,比赛,时间,主队,比分,客队
218,亚洲预选,2015-09-08 20:45,马来西亚,0-3,沙特阿拉伯
219,亚洲预选,2015-09-04 01:40,沙特阿拉伯,7-0,东帝汶
220,亚洲预选,2015-06-12 02:00,沙特阿拉伯,3-2,巴勒斯坦
221,国际友谊,2015-03-30 23:30,沙特阿拉伯,2-1,约旦
222,亚洲杯,2015-01-18 17:00,乌兹别克,3-1,沙特阿拉伯
223,亚洲杯,2015-01-14 15:00,朝鲜,1-4,沙特阿拉伯
224,亚洲杯,2015-01-10 17:00,沙特阿拉伯,0-1,中国
225,国际友谊,2015-01-04 17:00,沙特阿拉伯,0-2,韩国
226,国际友谊,2014-12-30 16:00,巴林,4-1,沙特阿拉伯
227,海湾运,2014-11-27 00:45,沙特阿拉伯,1-2,卡塔尔
228,海湾运,2014-11-24 02:00,沙特阿拉伯,3-2,阿联酋
229,海湾运,2014-11-20 00:45,沙特阿拉伯,1-0,也门
230,海湾运,2014-11-17 01:15,沙特阿拉伯,3-0,巴林
231,海湾运,2014-11-13 23:59,沙特阿拉伯,1-1,卡塔尔
232,国际友谊,2014-11-06 23:59,沙特阿拉伯,2-0,巴勒斯坦
233,国际友谊,2014-10-15 01:15,沙特阿拉伯,1-1,黎巴嫩
234,国际友谊,2014-09-09 03:00,沙特阿拉伯,2-3,澳大利亚
235,国际友谊,2014-05-30 03:00,沙特阿拉伯,0-2,格鲁吉亚
236,国际友谊,2014-05-24 23:59,沙特阿拉伯,0-4,摩尔多瓦
237,亚洲杯,2014-03-06 01:30,沙特阿拉伯,1-0,印度尼西亚
238,球会友谊,2012-11-15 01:00,沙特阿拉伯,0-0,阿根廷
239,国际友谊,2017-11-15 04:45,葡萄牙,1-1,美国
240,欧洲预选,2017-10-11 02:45,葡萄牙,2-0,瑞士
241,欧洲预选,2017-10-08 02:45,安道尔,0-2,葡萄牙
242,欧洲预选,2017-09-04 02:45,匈牙利,0-1,葡萄牙
243,欧洲预选,2017-09-01 02:45,葡萄牙,5-1,法罗群岛
244,洲际杯,2017-07-02 20:00,葡萄牙,1-1,墨西哥
245,洲际杯,2017-06-29 02:00,葡萄牙,0-0,智利
246,洲际杯,2017-06-24 23:00,新西兰,0-4,葡萄牙
247,洲际杯,2017-06-18 23:00,葡萄牙,2-2,墨西哥
248,欧洲预选,2017-06-10 02:45,拉脱维亚,0-3,葡萄牙
249,国际友谊,2017-06-03 23:00,葡萄牙,4-0,塞浦路斯
250,国际友谊,2017-03-29 02:45,葡萄牙,2-3,瑞典
251,欧洲预选,2017-03-26 03:45,葡萄牙,3-0,匈牙利
252,欧洲预选,2016-11-14 03:45,葡萄牙,4-1,拉脱维亚
253,欧洲预选,2016-10-11 02:45,法罗群岛,0-6,葡萄牙
254,欧洲预选,2016-10-08 02:45,葡萄牙,6-0,安道尔
255,欧洲预选,2016-09-07 02:45,瑞士,2-0,葡萄牙
256,国际友谊,2016-09-02 02:45,葡萄牙,5-0,直布罗陀
257,欧洲杯,2016-07-11 03:00,法国,0-0,葡萄牙
258,欧洲杯,2016-07-07 03:00,葡萄牙,2-0,威尔士
259,欧洲杯,2016-07-01 03:00,葡萄牙,1-1,波兰
260,欧洲杯,2016-06-26 03:00,克罗地亚,0-0,葡萄牙
261,欧洲杯,2016-06-22 23:59,匈牙利,3-3,葡萄牙
262,欧洲杯,2016-06-19 03:00,葡萄牙,0-0,奥地利
263,欧洲杯,2016-06-15 03:00,葡萄牙,1-1,冰岛
264,国际友谊,2016-06-09 02:45,葡萄牙,7-0,爱沙尼亚
265,国际友谊,2016-06-03 02:45,英格兰,1-0,葡萄牙
266,国际友谊,2016-05-30 03:45,葡萄牙,3-0,挪威
267,国际友谊,2016-03-30 02:45,葡萄牙,2-1,比利时
268,国际友谊,2016-03-26 04:45,葡萄牙,0-1,保加利亚
269,国际友谊,2015-11-18 03:30,卢森堡,0-2,葡萄牙
270,欧洲杯,2015-10-11 23:59,塞尔维亚,1-2,葡萄牙
271,欧洲杯,2015-10-09 02:45,葡萄牙,1-0,丹麦
272,欧洲杯,2015-09-08 02:45,阿尔巴尼亚,0-1,葡萄牙
273,国际友谊,2015-09-05 02:45,葡萄牙,0-1,法国
274,国际友谊,2015-06-17 02:30,意大利,0-1,葡萄牙
275,欧洲杯,2015-06-13 23:59,阿美尼亚,2-3,葡萄牙
276,国际友谊,2015-04-01 03:45,葡萄牙,0-2,佛得角
277,欧洲杯,2015-03-30 02:45,葡萄牙,2-1,塞尔维亚
278,国际友谊,2014-11-19 03:45,阿根廷,0-1,葡萄牙
279,欧洲杯,2014-11-15 03:45,葡萄牙,1-0,阿美尼亚
280,欧洲杯,2014-10-15 02:45,丹麦,0-1,葡萄牙
281,国际友谊,2014-10-12 02:45,法国,2-1,葡萄牙
282,欧洲杯,2014-09-08 02:45,葡萄牙,0-1,阿尔巴尼亚
283,世界杯,2014-06-27 00:00,葡萄牙,2-1,加纳
284,世界杯,2014-06-23 06:00,美国,2-2,葡萄牙
285,世界杯,2014-06-17 00:00,德国,4-0,葡萄牙
286,国际友谊,2014-06-11 08:05,葡萄牙,5-1,爱尔兰
287,国际友谊,2014-06-07 08:30,墨西哥,0-1,葡萄牙
288,国际友谊,2014-06-01 02:30,葡萄牙,0-0,希腊
289,国际友谊,2014-03-06 04:45,葡萄牙,5-1,喀麦隆
